Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
P.A. Accounts Payable Executive,Noida,Full Time,Finance Department,2 Sep 2023,2.0,2.0,1.0,1.0,3.0,1.0,2.0
Manager,Bengaluru/Bangalore,Full Time,Software Development Department,1 Sep 2023,4.0,2.0,4.0,3.0,2.0,3.0,3.0
Talent Acquisition Consultant   (working remotely),,Part Time,Recruitment & Talent Acquisition Department,1 Sep 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process Associate,Chennai,Full Time,Other Department,1 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Analyst,Bangalore/Bengaluru,Full Time,Software Development Department,1 Aug 2023,3.0,4.0,5.0,2.0,4.0,3.0,2.0
Senior Software Engineer,Bangalore/Bengaluru,Full Time,Quality Assurance and Testing Department,0 Aug 2023,4.0,5.0,5.0,3.0,5.0,5.0,1.0
Consultant B2,Hyderabad/Secunderabad,Full Time,IT Security Department,0 Aug 2023,5.0,5.0,5.0,5.0,3.0,5.0,2.0
Senior Professional I Engineer,Gurgaon/Gurugram,Full Time,Software Development Department,0 Aug 2023,3.0,2.0,2.0,3.0,4.0,1.0,3.0
Scrum Master,Pune,Full Time,DevOps Department,0 Aug 2023,5.0,3.0,5.0,3.0,5.0,3.0,2.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,Other Department,0 Aug 2023,4.0,4.0,4.0,5.0,5.0,5.0,4.0
Consultant,Navi Mumbai,Full Time,Facility Management Department,0 Aug 2023,3.0,4.0,5.0,3.0,3.0,4.0,2.0
Sr.Analyst - Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,0 Aug 2023,3.0,3.0,2.0,3.0,2.0,3.0,3.0
Consultant,Kolkata,Full Time,Other Department,0 Aug 2023,1.0,2.0,3.0,3.0,1.0,1.0,1.0
Consultant,Pune,Full Time,IT Consulting Department,0 Aug 2023,3.0,3.0,4.0,3.0,3.0,3.0,2.0
Professional 1,Bangalore/Bengaluru,Full Time,Hardware Department,0 Aug 2023,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,9 Aug 2023,4.0,5.0,5.0,3.0,4.0,5.0,3.0
Consultant,Chennai,Full Time,Other Department,9 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Manager,Chennai,Full Time,Banking Operations Department,6 Aug 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Data Analyst,"Bhubaneswar, Odisha",Full Time,Other Department,6 Aug 2023,3.0,4.0,4.0,2.0,3.0,4.0,2.0
Senior Consultant,"Navi Mumbai, Maharashtra",Full Time,Software Development Department,5 Aug 2023,4.0,5.0,5.0,3.0,5.0,4.0,3.0
Physical Verification Engineer,Bangalore/Bengaluru,Full Time,Engineering & Manufacturing Department,5 Aug 2023,5.0,5.0,1.0,1.0,4.0,4.0,3.0
Sap Mm Consultant,Pune,Full Time,IT Consulting Department,3 Aug 2023,3.0,4.0,3.0,3.0,3.0,3.0,1.0
Analyst,"Pune, Maharashtra",Full Time,Banking Operations Department,3 Aug 2023,4.0,3.0,3.0,3.0,2.0,2.0,1.0
Consultant,"Bangalore Rural, Karnataka",Full Time,Business Intelligence & Analytics Department,3 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sr Manager,"Noida, Uttar Pradesh",Full Time,Technology / IT Department,3 Aug 2023,3.0,5.0,3.0,2.0,4.0,4.0,3.0
Senior Consultant   (working remotely),,Full Time,Downstream Department,3 Aug 2023,3.0,4.0,4.0,3.0,4.0,4.0,1.0
Process Lead And Subject Matter Expert,Kolkata,Full Time,Operations Department,3 Aug 2023,1.0,2.0,1.0,2.0,1.0,1.0,2.0
Escalation Engineer,"Noida, Uttar Pradesh",Full Time,IT Infrastructure Services Department,2 Aug 2023,5.0,5.0,5.0,3.0,5.0,5.0,5.0
Devops Engineer,Gurgaon/Gurugram,Full Time,Software Development Department,2 Aug 2023,3.0,2.0,2.0,4.0,1.0,2.0,2.0
Senior Consultant,"Chennai, Tamil Nadu",Full Time,Software Development Department,1 Aug 2023,1.0,1.0,1.0,2.0,1.0,1.0,1.0
Consultant,Bangalore/Bengaluru,Full Time,Software Development Department,0 Aug 2023,3.0,1.0,1.0,3.0,1.0,1.0,1.0
Technical Support Manager,Gurgaon/Gurugram,Full Time,Operations Support Department,0 Aug 2023,2.0,2.0,2.0,1.0,3.0,1.0,1.0
Accounts Payable Process Associate,Kolkata,Full Time,Accounts payable Department,0 Aug 2023,4.0,4.0,4.0,2.0,4.0,4.0,3.0
Associate Consultant Developer,"Bengaluru/Bangalore, Karnataka",Full Time,IT Network Department,0 Aug 2023,4.0,5.0,4.0,3.0,3.0,5.0,2.0
Analyst,"Gurgaon/Gurugram, Haryana",Full Time,IT Support Department,0 Aug 2023,1.0,1.0,1.0,4.0,1.0,1.0,1.0
Senior Project Manager,Mumbai,Full Time,Business Intelligence & Analytics Department,9 Aug 2023,5.0,5.0,5.0,3.0,4.0,5.0,3.0
Process Associate,"Trichy, Tamil Nadu",Full Time,Accounting & Taxation Department,8 Aug 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0
Sap Mm Consultant,Mumbai,Full Time,IT Consulting Department,7 Aug 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0
Senior Consultant,"Noida, Uttar Pradesh",Full Time,Other Department,5 Sep 2023,3.0,3.0,4.0,2.0,5.0,4.0,2.0
Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,6 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Team Manager,"Kolkata, West Bengal",Full Time,Finance Department,6 Aug 2023,4.0,4.0,5.0,3.0,4.0,3.0,3.0
Program Lead-Delivery Partner,Chennai,Full Time,Banking Operations Department,5 Aug 2023,3.0,3.0,3.0,3.0,2.0,3.0,3.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,Applied Innovation Exchange Department,5 Aug 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Sap Succe,Pune,Full Time,IT Consulting Department,4 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Financial Analyst,"Navi Mumbai, Maharashtra",Full Time,Back Office Department,4 Aug 2023,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Associate Consultant,"Pune, Maharashtra",Full Time,Quality Assurance and Testing Department,4 Aug 2023,4.0,4.0,3.0,2.0,4.0,4.0,2.0
Analog Layout Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Hardware Department,4 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Associate Consultant FP,Pune,Full Time,Finance Department,4 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Hr Trainee Generalist,"Gurgaon/Gurugram, Haryana",Intern,Recruitment & Talent Acquisition Department,4 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Software Developer 3,Pune,Full Time,Quality Assurance and Testing Department,4 Aug 2023,3.0,2.0,3.0,4.0,3.0,4.0,2.0
"Software Consultant, Python",Bangalore/Bengaluru,Full Time,Software Development Department,3 Aug 2023,5.0,5.0,3.0,5.0,5.0,5.0,3.0
Team Lead,Chennai,Full Time,Operations Department,3 Aug 2023,4.0,4.0,5.0,3.0,5.0,4.0,3.0
Senior Consultant,"Noida, Uttar Pradesh",Full Time,IT Infrastructure Services Department,2 Aug 2023,4.0,4.0,3.0,4.0,3.0,4.0,3.0
Senior Analyst,Pune,Full Time,Software Development Department,2 Aug 2023,4.0,2.0,4.0,2.0,4.0,3.0,2.0
Gcp Data Engineer,Pune,Full Time,Data Science & Machine Learning Department,2 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Senior Consultant,"Navi Mumbai, Maharashtra",Full Time,IT Infrastructure Services Department,2 Aug 2023,1.0,2.0,1.0,1.0,1.0,1.0,1.0
Senior Software Engineer,Bangalore/Bengaluru,Full Time,Software engineer  Department,2 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Java Full Stack Developer,Chennai,Full Time,Software Development Department,1 Aug 2023,3.0,2.0,4.0,2.0,1.0,1.0,1.0
Process Lead,Chennai,Full Time,Voice / Blended Department,1 Aug 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Technical Support Executive,Noida,Full Time,IT Support Department,1 Aug 2023,5.0,5.0,5.0,4.0,5.0,5.0,5.0
Associate Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Quality Assurance and Testing Department,9 Aug 2023,4.0,4.0,5.0,4.0,4.0,5.0,4.0
Analyst And Software Developer,Bangalore/Bengaluru,Full Time,Software Development Department,9 Aug 2023,4.0,4.0,4.0,2.0,5.0,5.0,2.0
Consulting Analyst,Pune,Contractual,Banking Operations Department,5 Aug 2023,4.0,4.0,3.0,3.0,4.0,3.0,3.0
Manager - Agile Coach,Bengaluru/Bangalore,Full Time,Software Development Department,7 Aug 2023,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Manager,"Navi Mumbai, Maharashtra",Full Time,Management Consulting Department,7 Aug 2023,4.0,5.0,5.0,3.0,5.0,5.0,4.0
Senior Software Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,7 Aug 2023,4.0,4.0,3.0,5.0,4.0,4.0,4.0
Software Associate,Navi Mumbai,Full Time,Technology / IT Department,7 Aug 2023,3.0,3.0,4.0,2.0,2.0,4.0,2.0
Senior Software Engineer,Pune,Full Time,IT Infrastructure Services Department,6 Aug 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Consultant,Chennai,Full Time,Quality Assurance and Testing Department,6 Aug 2023,2.0,3.0,3.0,1.0,3.0,3.0,2.0
Associate Consultant Engineer,Hyderabad/Secunderabad,Full Time,Banking Operations Department,2 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Software Engineer Analyst,Mumbai,Full Time,Software Development Department,5 Aug 2023,4.0,5.0,4.0,4.0,4.0,4.0,4.0
Support Manager,Mumbai,Full Time,Back Office Department,6 Aug 2023,2.0,4.0,3.0,1.0,4.0,2.0,1.0
