Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction
Software Developer,Hyderabad/Secunderabad,Full Time,Retail & B2C Sales Department,7 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Analyst,Bengaluru/Bangalore,Full Time,Software Development Department,5 Jul 2023,5.0,4.0,4.0,4.0,5.0,5.0,2.0
Software Developer,"Gurgaon/Gurugram, Haryana",Intern,Software Development Department,5 Jul 2023,4.0,4.0,4.0,2.0,4.0,4.0,3.0
Associate Consultant,Navi Mumbai,Full Time,Quality Assurance and Testing Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant,Pune,Full Time,IT Consulting Department,5 Jul 2023,5.0,4.0,5.0,4.0,5.0,5.0,5.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,5 Jul 2023,4.0,4.0,3.0,3.0,4.0,4.0,4.0
Automation Test Engineer,Bangalore/Bengaluru,Full Time,Quality Assurance and Testing Department,5 Jul 2023,2.0,3.0,4.0,1.0,4.0,1.0,1.0
Salesman,Bengaluru/Bangalore,Full Time,Retail & B2C Sales Department,5 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,DBA / Data warehousing Department,5 Jul 2023,4.0,3.0,4.0,3.0,4.0,4.0,3.0
Associate 1-Software Engineer,Gurgaon/Gurugram,Full Time,IT Security Department,4 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Associate Consultant,Chennai,Full Time,Quality Assurance and Testing Department,4 Jul 2023,4.0,3.0,3.0,2.0,3.0,3.0,1.0
Team Leader,"Salem, Tamil Nadu",Full Time,Service Delivery Department,4 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Associate Consultant,Bangalore/Bengaluru,Full Time,Other Department,4 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
ITSCM And IT Compliance Lead,Mumbai,Full Time,IT Infrastructure Services Department,4 Sep 2023,4.0,4.0,4.0,2.0,2.0,5.0,2.0
Processing Executive,"Tiruchirappalli, Tamil Nadu",Full Time,Accounting & Taxation Department,4 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Team Lead,Chennai,Full Time,Accounting & Taxation Department,4 Jul 2023,5.0,4.0,4.0,4.0,5.0,4.0,4.0
Project Manager,Hyderabad/Secunderabad,Full Time,Business Intelligence & Analytics Department,4 Jul 2023,3.0,3.0,2.0,3.0,3.0,2.0,2.0
Project Manager,Bengaluru/Bangalore,Full Time,Technology / IT Department,4 Jul 2023,4.0,4.0,3.0,5.0,3.0,3.0,4.0
Associate Consultant,Chennai,Full Time,Other Department,4 Jul 2023,2.0,2.0,2.0,1.0,1.0,1.0,1.0
Senior Software Engineer,Pune,Full Time,Software Development Department,4 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Data Entry Operator   (working remotely),,Part Time,Other Department,4 Jul 2023,1.0,3.0,5.0,4.0,5.0,5.0,4.0
Technical Project Manager,Navi Mumbai,Full Time,Manuf n SC Department,4 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Software Engineer,Bengaluru/Bangalore,Full Time,DBA / Data warehousing Department,4 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,4.0
Data Analyst,Pune,Full Time,Business Intelligence & Analytics Department,2 Aug 2023,2.0,4.0,1.0,2.0,5.0,3.0,2.0
Vmware Administrator,"Hyderabad/Secunderabad, Telangana",Full Time,IT Support Department,3 Jul 2023,5.0,5.0,5.0,5.0,2.0,5.0,1.0
Senior Software Engineer,Hyderabad/Secunderabad,Full Time,Software Development Department,3 Jul 2023,5.0,4.0,5.0,5.0,4.0,4.0,5.0
Analyst,Pune,Full Time,IT Support Department,3 Jul 2023,3.0,3.0,3.0,2.0,3.0,3.0,2.0
Software Engineer,Bangalore/Bengaluru,Full Time,Software Development Department,3 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Sr. Account Associate,"Noida, Uttar Pradesh",Full Time,Finance Department,6 Aug 2023,4.0,3.0,3.0,4.0,5.0,4.0,3.0
Associate Consultant,"Mumbai, Maharashtra",Full Time,Software Development Department,3 Jul 2023,5.0,5.0,4.0,5.0,5.0,5.0,3.0
Middleware Administrator,Bengaluru/Bangalore,Full Time,DevOps Department,3 Jul 2023,3.0,1.0,1.0,1.0,1.0,1.0,1.0
Technical Support Engineer,"Gurgaon/Gurugram, Haryana",Full Time,IT Support Department,3 Jul 2023,3.0,4.0,4.0,3.0,5.0,3.0,3.0
Senior Consultant,Noida,Full Time,IT Consulting Department,2 Jul 2023,3.0,4.0,2.0,3.0,1.0,4.0,1.0
Process Associate,"Salem, Tamil Nadu",Full Time,Other Department,2 Jul 2023,3.0,4.0,4.0,3.0,4.0,3.0,3.0
It Service Desk Analyst,"Kolkata, West Bengal",Full Time,Customer Success Department,2 Jul 2023,3.0,3.0,1.0,3.0,1.0,5.0,1.0
Performance Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,IT Infrastructure Services Department,2 Jul 2023,3.0,2.0,3.0,4.0,1.0,4.0,2.0
Senior Technical Lead,Bangalore/Bengaluru,Full Time,Engineering Department,1 Jul 2023,3.0,3.0,3.0,2.0,3.0,3.0,3.0
Senior Analyst,Bengaluru/Bangalore,Full Time,Business Intelligence & Analytics Department,1 Jul 2023,3.0,4.0,3.0,3.0,5.0,5.0,3.0
Trainee,"Chandigarh, Chandigarh",Intern,Engineering Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate Software Engineer 2,Hyderabad/Secunderabad,Full Time,Quality Assurance and Testing Department,1 Jul 2023,3.0,4.0,4.0,3.0,4.0,2.0,3.0
Senior Consultant,Airoli Navi Mumbai,Full Time,Technology / IT Department,1 Jul 2023,4.0,3.0,4.0,4.0,4.0,4.0,4.0
Sap Pp And Qm Consultant,Pune,Full Time,Other Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Analyst,Mumbai,Full Time,Quality Assurance and Testing Department,1 Jul 2023,5.0,4.0,5.0,4.0,5.0,5.0,3.0
Manager,Navi Mumbai,Full Time,Health Informatics Department,1 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Architect,Navi Mumbai,Full Time,Digital Marketing Department,1 Jul 2023,3.0,3.0,4.0,4.0,4.0,3.0,3.0
Software Consultant,"Chennai, Tamil Nadu",Full Time,Software Development Department,0 Jul 2023,5.0,5.0,3.0,4.0,5.0,5.0,3.0
"Manager C2(Senior Full Stack Developer, Technical Lead)",Noida,Full Time,Software Development Department,0 Jul 2023,4.0,5.0,4.0,3.0,4.0,4.0,2.0
R2r Process Associate,"Bangalore Rural, Karnataka",Full Time,Finance Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Program Manager,"Mumbai, Maharashtra",Full Time,BD / Pre Sales Department,0 Jul 2023,5.0,5.0,5.0,2.0,5.0,5.0,2.0
Frontend Web Developer (React Js),"Kolkata, West Bengal",Full Time,Software Development Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Process Associate,Hyderabad/Secunderabad,Full Time,Finance Department,0 Jul 2023,4.0,4.0,4.0,4.0,5.0,5.0,4.0
Senior Software Engineer,"Mumbai, Maharashtra",Full Time,Software Development Department,0 Jul 2023,4.0,2.0,5.0,3.0,4.0,5.0,3.0
Sap Fi Consultant,Hyderabad/Secunderabad,Full Time,Back Office Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Team Manager,"Kolkata, West Bengal",Full Time,Software Development Department,0 Jul 2023,3.0,3.0,2.0,2.0,3.0,2.0,2.0
Process Associate,Bengaluru/Bangalore,Full Time,Finance Department,0 Jul 2023,5.0,5.0,3.0,2.0,3.0,4.0,2.0
Hr And Administration,Kolkata,Full Time,HR Operations Department,0 Jul 2023,5.0,5.0,3.0,3.0,5.0,5.0,2.0
Senior Consultant,"Hyder, Alaska",Full Time,Software Development Department,0 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Software Engineer,"Mumbai, Maharashtra",Full Time,IT Infrastructure Services Department,0 Jul 2023,4.0,4.0,1.0,5.0,5.0,3.0,3.0
Consultant,Noida,Full Time,Software Development Department,0 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Consultant,"Mumbai, Maharashtra",Full Time,IT Consulting Department,0 Jul 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0
Aanlyst,"Chennai, Tamil Nadu",Full Time,Quality Assurance and Testing Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Team Manager,"Bangalore Rural, Karnataka",Full Time,Operations Department,9 Jul 2023,4.0,4.0,3.0,2.0,4.0,4.0,2.0
Associate Consultant,Pune,Full Time,IT Consulting Department,9 Jul 2023,4.0,4.0,5.0,3.0,5.0,4.0,4.0
Associate Consultant,"Pune, Maharashtra",Full Time,Quality Assurance and Testing Department,9 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Associate Consultant,Hyderabad/Secunderabad,Full Time,IT Network Department,9 Jul 2023,5.0,4.0,4.0,4.0,3.0,5.0,5.0
"Talent Management, RMG Lead",Hyderabad/Secunderabad,Full Time,Operations Department,9 Jul 2023,3.0,3.0,2.0,2.0,3.0,3.0,1.0
Senior Analyst,"Pune, Maharashtra",Full Time,Cloud Infrastructure Services  Department,9 Jul 2023,4.0,4.0,4.0,2.0,4.0,4.0,2.0
Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Service Delivery Department,8 Jul 2023,4.0,4.0,5.0,4.0,4.0,5.0,3.0
Consultant,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,8 Jul 2023,4.0,3.0,2.0,2.0,4.0,3.0,2.0
Senior Software Developer,"Kolkata, West Bengal",Full Time,Software Development Department,8 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Senior Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,8 Jul 2023,4.0,4.0,5.0,4.0,4.0,5.0,2.0
Process Lead,Bengaluru/Bangalore,Full Time,Finance Department,8 Jul 2023,3.0,5.0,3.0,1.0,4.0,2.0,1.0
Sr. Cybersecurity Analyst,"Noida, Uttar Pradesh",Full Time,IT Security Department,8 Jul 2023,4.0,5.0,4.0,3.0,5.0,5.0,3.0
Python Developer Intern,"Pune, Maharashtra",Intern,Python developer Department,9 Jul 2023,5.0,5.0,4.0,5.0,4.0,4.0,5.0
Consultant   (working remotely),,Full Time,Software Development Department,4 Jul 2023,5.0,5.0,5.0,3.0,5.0,5.0,3.0
Qa Lead,"Gurgaon/Gurugram, Haryana",Full Time,Engineering Department,8 Jul 2023,3.0,3.0,2.0,2.0,3.0,2.0,2.0
Consultant,Pune,Full Time,Business Intelligence & Analytics Department,8 Jul 2023,5.0,5.0,5.0,3.0,5.0,5.0,3.0
Senior Associate,Navi Mumbai,Full Time,Engineering & Manufacturing Department,8 Jul 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0
Consultant,Pune,Full Time,Service Delivery Department,8 Jul 2023,4.0,4.0,4.0,4.0,4.0,5.0,4.0
Consultant,"Chennai, Tamil Nadu",Full Time,Banking Operations Department,8 Jul 2023,5.0,5.0,5.0,3.0,5.0,5.0,3.0
Associate Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,8 Jul 2023,4.0,5.0,5.0,3.0,5.0,4.0,4.0
Network Engineer,"Mumbai, Maharashtra",Full Time,IT Infrastructure Services Department,7 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,2.0
Software Developer,"Pune, Maharashtra",Full Time,Software Development Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Consultant   (working remotely),,Full Time,Finance Department,7 Jul 2023,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Financial Controller,Pune,Full Time,Finance Department,7 Jul 2023,4.0,3.0,3.0,3.0,4.0,4.0,3.0
Consultant B2,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Professional 1,Mumbai,Full Time,Software Development Department,7 Jul 2023,4.0,5.0,4.0,3.0,4.0,5.0,3.0
Senior Executive,"Chennai, Tamil Nadu",Full Time,Non Voice Department,7 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Consultant C1,Pune,Full Time,Life Insurance Department,7 Jul 2023,5.0,5.0,5.0,4.0,4.0,5.0,4.0
Project Manager,"Kolkata, West Bengal",Full Time,Technology / IT Department,7 Jul 2023,3.0,3.0,4.0,3.0,5.0,4.0,1.0
Oracle Hcm Functional Consultant,Bengaluru/Bangalore,Full Time,IT Consulting Department,7 Jul 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0
Senior Consultant,Bengaluru/Bangalore,Full Time,Software Development Department,7 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Test Engineer,Chennai,Full Time,Manual testing Department,7 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Consultant,"Kolkata, West Bengal",Full Time,IT Security Department,7 Jul 2023,4.0,3.0,3.0,3.0,4.0,4.0,3.0
Senior Associate,"Kolkata, West Bengal",Full Time,Other Department,6 Jul 2023,3.0,4.0,4.0,4.0,3.0,3.0,3.0
Associate Consultant,Pune,Full Time,Business Intelligence & Analytics Department,6 Jul 2023,3.0,2.0,2.0,2.0,2.0,2.0,1.0
Visualization Expert,Bengaluru/Bangalore,Full Time,Treasury Department,6 Jul 2023,4.0,4.0,2.0,1.0,4.0,5.0,1.0
Project Manager,"Pune, Maharashtra",Full Time,Technology / IT Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Sccm Analyst,"Mumbai, Maharashtra",Full Time,IT Support Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Angular Web Developer,Bangalore/Bengaluru,Full Time,Banking Operations Department,6 Aug 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Abap Technical Consultant,Bengaluru/Bangalore,Full Time,Software Development Department,6 Jul 2023,5.0,5.0,4.0,4.0,5.0,4.0,4.0
Senior Consultant,"Gurgaon/Gurugram, Haryana",Full Time,Hardware Department,6 Jul 2023,3.0,4.0,3.0,2.0,3.0,3.0,1.0
Team Manager,Chennai,Full Time,Operations Department,6 Jul 2023,1.0,1.0,3.0,2.0,3.0,3.0,3.0
Technical Analyst,"Navi Mumbai, Maharashtra",Full Time,IT Support Department,6 Jul 2023,4.0,3.0,4.0,3.0,3.0,4.0,3.0
Sr.Data Engineer Manager,"Noida, Uttar Pradesh",Full Time,Software Development Department,6 Jul 2023,4.0,3.0,4.0,3.0,3.0,5.0,4.0
Consultant,Navi Mumbai,Full Time,Marketing Department,6 Jul 2023,3.0,5.0,4.0,2.0,3.0,3.0,2.0
Manager,"Kolkata, West Bengal",Full Time,Business Intelligence & Analytics Department,5 Jul 2023,5.0,5.0,5.0,4.0,4.0,5.0,4.0
Process Associate,"Trichy, Tamilnadu",Full Time,Operations Department,5 Jul 2023,4.0,4.0,4.0,3.0,5.0,4.0,3.0
Manager,Bengaluru/Bangalore,Full Time,Other Department,5 Jul 2023,4.0,5.0,5.0,3.0,4.0,5.0,4.0
Desktop Engineer,Mumbai,Full Time,IT Infrastructure Services Department,5 Jul 2023,5.0,5.0,4.0,4.0,5.0,4.0,3.0
Process Associate,"Kolkata, West Bengal",Full Time,Operations Support Department,5 Jul 2023,2.0,2.0,1.0,3.0,2.0,1.0,2.0
Process Associate,"Chennai, Tamil Nadu",Full Time,Finance Department,5 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
Senior Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,4 Jul 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0
Operations Lead,"Kolkata, West Bengal",Full Time,Service Delivery Department,4 Jul 2023,3.0,5.0,5.0,2.0,4.0,3.0,3.0
Senior Systems Engineer,Hyderabad/Secunderabad,Full Time,Software Development Department,4 Jul 2023,5.0,5.0,4.0,4.0,5.0,5.0,4.0
Senior Consultant,Hyderabad/Secunderabad,Full Time,Finance Department,4 Jul 2023,3.0,3.0,2.0,4.0,4.0,2.0,1.0
Process Associate,"Kolkata, West Bengal",Full Time,Record to Report Department,4 Jul 2023,5.0,5.0,5.0,4.0,5.0,5.0,4.0
Consultant,Chennai,Full Time,Quality Assurance and Testing Department,8 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Manager,Bengaluru/Bangalore,Full Time,Service Delivery Department,4 Jul 2023,1.0,3.0,1.0,2.0,2.0,1.0,1.0
Senior Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Quality Assurance and Testing Department,4 Jul 2023,4.0,5.0,4.0,2.0,5.0,4.0,2.0
Technology Specialist,Pune,Full Time,Technology / IT Department,4 Jul 2023,4.0,5.0,4.0,3.0,4.0,4.0,3.0
Sap Bpc Consultant,Mumbai,Full Time,Software Development Department,1 Jul 2023,5.0,5.0,4.0,4.0,4.0,5.0,4.0
Team Manager,"Mumbai, Maharashtra",Full Time,Finance Department,4 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Hr And Administration Team Member,"Kolkata, West Bengal",Full Time,HR Operations Department,4 Jul 2023,5.0,5.0,4.0,3.0,4.0,4.0,3.0
Program Manager,Bengaluru/Bangalore,Full Time,Technology / IT Department,4 Jul 2023,2.0,1.0,2.0,1.0,2.0,1.0,1.0
Senior Consultant - Business Analyst,"Gurgaon/Gurugram, Haryana",Full Time,Product Management - Technology Department,4 Jul 2023,3.0,4.0,4.0,2.0,4.0,5.0,3.0
Process Assistant 02,Trichy,Full Time,Accounting & Taxation Department,4 Jul 2023,4.0,4.0,5.0,4.0,5.0,5.0,4.0
Associate Consultant,"North Goa, Goa",Full Time,IT Support Department,4 Jul 2023,2.0,1.0,3.0,3.0,3.0,2.0,2.0
Consultant,Bengaluru/Bangalore,Full Time,Software Development Department,4 Jul 2023,4.0,4.0,5.0,4.0,5.0,4.0,4.0
Associate Consultant,Chennai,Full Time,Software Development Department,3 Jul 2023,4.0,3.0,5.0,3.0,4.0,4.0,4.0
Team Lead,Bengaluru/Bangalore,Full Time,Business Intelligence & Analytics Department,3 Jul 2023,3.0,4.0,3.0,3.0,4.0,4.0,1.0
Consultant   (working remotely),,Full Time,Banking Operations Department,3 Jul 2023,5.0,4.0,5.0,5.0,4.0,5.0,5.0
Senior Software Engineer,"Pune, Maharashtra",Full Time,Finance Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Analyst,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,3 Jul 2023,4.0,4.0,4.0,3.0,4.0,5.0,2.0
Senior Consultant,"Pune, Maharashtra",Full Time,Banking Operations Department,3 Jul 2023,2.0,5.0,2.0,2.0,5.0,1.0,2.0
Process Associate,"Noida, Uttar Pradesh",Full Time,Non Voice Department,3 Jul 2023,4.0,5.0,5.0,3.0,5.0,5.0,3.0
Senior Analyst,Bengaluru/Bangalore,Full Time,Enterprise & B2B Sales Department,3 Jul 2023,4.0,4.0,2.0,3.0,5.0,4.0,3.0
Senior Analyst,Pune,Full Time,Software Development Department,3 Jul 2023,3.0,4.0,4.0,3.0,3.0,4.0,2.0
Associate Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Health & Fitness Department,3 Jul 2023,5.0,5.0,4.0,3.0,5.0,5.0,3.0
Senior Professional 1,Hyderabad/Secunderabad,Full Time,Other Department,3 Jul 2023,5.0,5.0,4.0,5.0,5.0,5.0,4.0
Consultant,Pune,Full Time,Software Development Department,3 Jul 2023,3.0,4.0,5.0,1.0,4.0,4.0,1.0
Senior Analyst,Hyderabad/Secunderabad,Full Time,Software Development Department,3 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Consultant,Bengaluru/Bangalore,Full Time,IT Network Department,3 Jul 2023,4.0,3.0,4.0,3.0,3.0,3.0,2.0
Senior Software Engineer,"Chennai, Tamil Nadu",Full Time,Quality Assurance and Testing Department,3 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Professinol 2,Hyderabad/Secunderabad,Full Time,Engineering Department,3 Jul 2023,4.0,4.0,4.0,3.0,4.0,4.0,3.0
A4 Analyst,Bengaluru/Bangalore,Full Time,Business Intelligence & Analytics Department,3 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Associate Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,2 Jul 2023,4.0,3.0,4.0,3.0,2.0,5.0,3.0
Hr Manager,Pune,Full Time,HR Business Advisory Department,2 Jul 2023,4.0,4.0,5.0,3.0,5.0,5.0,4.0
Architect And Technical Manager,Bengaluru/Bangalore,Full Time,Banking Operations Department,2 Jul 2023,2.0,3.0,2.0,2.0,3.0,3.0,2.0
Process Lead,"Noida, Uttar Pradesh",Full Time,Non Voice Department,2 Jul 2023,4.0,3.0,3.0,4.0,3.0,3.0,3.0
Senior Software Engineer,Bengaluru/Bangalore,Full Time,Software Development Department,2 Jul 2023,4.0,3.0,4.0,3.0,4.0,4.0,3.0
Payment Analyst,Hyderabad/Secunderabad,Full Time,Non Voice Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Project Manager,Bengaluru/Bangalore,Full Time,IT Network Department,2 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Process Associate,"Salem, Tamil Nadu",Full Time,Technology / IT Department,2 Jul 2023,5.0,3.0,5.0,4.0,4.0,4.0,4.0
Technical Lead Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Hr Executive And Generalist,Candor,Full Time,HR Operations Department,2 Jul 2023,4.0,4.0,4.0,3.0,5.0,5.0,2.0
Associate Consultant,"Kolkata, West Bengal",Full Time,Software Development Department,2 Jul 2023,3.0,2.0,4.0,2.0,4.0,3.0,2.0
Senior Analyst,Navi Mumbai,Full Time,Other Department,2 Jul 2023,3.0,4.0,5.0,2.0,3.0,5.0,2.0
Associate Consultant,Bengaluru/Bangalore,Full Time,IT Consulting Department,1 Jul 2023,5.0,4.0,3.0,3.0,4.0,5.0,4.0
Sr. Professional,Bengaluru/Bangalore,Full Time,"Operations, Maintenance & Support Department",1 Jul 2023,4.0,4.0,4.0,3.0,4.0,3.0,2.0
Associate Consultant,Pune,Full Time,Software Development Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Software Engineer,Pune,Full Time,Banking Operations Department,3 Jul 2023,3.0,1.0,3.0,1.0,5.0,2.0,1.0
Consultant,Pune,Full Time,IT Infrastructure Services Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Software Engineer,Hyderabad/Secunderabad,Full Time,Banking Operations Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Senior Analyst,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,1 Jul 2023,5.0,4.0,4.0,4.0,4.0,4.0,3.0
Software Analyst,Hyderabad/Secunderabad,Full Time,Finance Department,1 Jul 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Customer Support Associate,"Noida, Uttar Pradesh",Full Time,Tech support Department,1 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,1.0
Software Developer,"Kolkata, West Bengal",Full Time,Banking Operations Department,1 Jul 2023,4.0,4.0,4.0,3.0,3.0,3.0,3.0
Senior Professional (Lead IOS Developer),Bengaluru/Bangalore,Full Time,Engineering & Manufacturing Department,7 Jul 2023,3.0,4.0,2.0,4.0,2.0,2.0,2.0
Associate Consultant,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,1 Jul 2023,3.0,3.0,4.0,3.0,4.0,3.0,3.0
Analyst,"Bengaluru/Bangalore, Karnataka",Intern,Software Development Department,1 Jul 2023,4.0,3.0,3.0,3.0,4.0,5.0,4.0
Consultant,Hyderabad/Secunderabad,Full Time,Software Development Department,1 Jul 2023,4.0,5.0,5.0,3.0,4.0,4.0,3.0
Software Engineer,Bengaluru/Bangalore,Full Time,Banking Operations Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Associate Software Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Software Development Department,1 Jul 2023,4.0,3.0,4.0,3.0,5.0,3.0,3.0
Consultant,Pune,Full Time,Software Development Department,1 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Technical Lead Manager,Bengaluru/Bangalore,Full Time,Technology / IT Department,1 Jul 2023,4.0,4.0,5.0,3.0,3.0,3.0,2.0
Full Stack Developer,"Noida, Uttar Pradesh",Full Time,Software Development Department,1 Jul 2023,3.0,5.0,3.0,3.0,5.0,4.0,2.0
Financial Planning,Pune,Full Time,Finance Department,5 Sep 2023,5.0,4.0,4.0,2.0,5.0,5.0,2.0
Consultant,Bengaluru/Bangalore,Full Time,HR Operations Department,0 Jul 2023,3.0,1.0,3.0,1.0,3.0,1.0,1.0
Process Associate,"Navi Mumbai, Maharashtra",Full Time,Finance Department,0 Jul 2023,3.0,5.0,5.0,2.0,5.0,4.0,1.0
Consultant,Bengaluru/Bangalore,Full Time,IT Infrastructure Services Department,0 Jul 2023,3.0,2.0,3.0,2.0,3.0,1.0,1.0
Senior Java Consultant,"Noida, Uttar Pradesh",Full Time,DevOps Department,0 Jul 2023,5.0,5.0,5.0,3.0,4.0,4.0,3.0
Senior Software Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Software Development Department,0 Jul 2023,4.0,4.0,5.0,1.0,4.0,4.0,1.0
Senior Manager,"Hyderabad/Secunderabad, Telangana",Full Time,IT Consulting Department,0 Jul 2023,3.0,4.0,4.0,3.0,2.0,2.0,2.0
Sr. Analysis,Kolkata,Full Time,Software Development Department,1 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Enterprise & B2B Sales Department,0 Jul 2023,3.0,3.0,4.0,2.0,5.0,3.0,3.0
Management Trainee,"Gurgaon/Gurugram, Haryana",Full Time,Finance Department,0 Jul 2023,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Associate Consultant,Mumbai,Full Time,IT Consulting Department,0 Jul 2023,4.0,5.0,4.0,2.0,5.0,5.0,2.0
Sr. Consultant,"Hyderabad/Secunderabad, Telangana",Full Time,Customer Success Department,0 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0
Manager,Bengaluru/Bangalore,Full Time,Operations Department,0 Jul 2023,3.0,3.0,3.0,2.0,3.0,3.0,3.0
Manager,Pune,Full Time,Software Development Department,0 Jul 2023,5.0,5.0,3.0,2.0,4.0,5.0,1.0
Sap Mm Functional Consultant,Bengaluru/Bangalore,Full Time,IT Consulting Department,0 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Analyst,Bengaluru/Bangalore,Full Time,Software Development Department,0 Jul 2023,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Consultant,Mumbai,Full Time,Software Development Department,0 Jul 2023,4.0,5.0,4.0,3.0,4.0,5.0,3.0
Software Engineer,"Gurgaon/Gurugram, Haryana",Full Time,IT Security Department,0 Jul 2023,3.0,4.0,4.0,3.0,4.0,4.0,2.0
Process Associate A3,"Salem, Tamil Nadu",Full Time,Accounting & Taxation Department,9 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0
